 objectid,filename,title,creator,date,description,subject,extent,instance type,file type,file size,rights holder
fg1,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/Being%20a%20Fangirl.docx,Being a fangirl,"Kearns, Beatrice",06/07/22,Reflections on pop culture. ,Boy bands; social media and society,4 pages,text,.docx,9.4 KB,
fg2,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/why%20_after_%20should%20be%20a%20part%20of%20the%20history%20of%20the%20book%20canon.docx,"Why ""After"" should be considered part of the history of the book canon","Kearns, Beatrice",3/27/2024,Analysis of fan-fiction's influence on traditional publishing,Boy bands; Fan fiction,2 pages,text,.docx,8.2 KB,
fg3,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/The%20essentials%20of.png,Elements of y/n,"Kearns, Beatrice",3/21/24,Collage of self-insert tropes in fan fiction,Fan fiction; social media and society,1080px X1920px,mixed_materials,PNG,3.1 MB,
fg4,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_0384.jpg,Album art,"Kearns, Beatrice",10/24/15,Drawings inspired by 5 Seconds of Summer's album Sounds Good Feels Good,Boy bands,8in by 11in,graphic content,JPEG,4.8 MB,
fg5,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_0383.jpg,Ode to live experiences,"Kearns, Beatrice",2/16/24,Scrapbook page focused on concerts,Boy bands,16in by 10in,mixed_materials,PNG,6 MB,
fg6,https://github.com/bkearns22/Collection/blob/e6863fa92e688656bd3c5c53a1aa58f0c0b31ee7/objects/IMG_0379.jpg,Homemade One Direction earrings,"Kearns, Beatrice",11/11/22,A pair of handmade One Direction earrings,Boy bands,2in by 2in,realia,JPEG,6 MB,
fg7,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/self%20image%20and%20y_n.docx,Self-image and y/n,"Kearns, Beatrice",4/1/21,Reflection on self-insert characters and self esteem.,fan fiction,1 page,text,.docx,7.2 KB,
fg8,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_0380.PNG,Tumblr laundry,"Kearns, Beatrice",3/22/24,Photograph of t-shirts.,fan fiction,2ft by 1.5 ft,graphic content,PNG,7.1 MB,
fg9,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_0381.PNG,"Reflection on ""Tumblr"" photos","Kearns, Beatrice",2/17/24,Scrapbook on Tumblr-style photography,social media and society,8in by 10in,mixed_materials,PNG,4.2 MB,
fg10,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_4956.jpg,One Direction movie,"Kearns, Beatrice",08/30/13,Group photograph. ,boy bands,,graphic content,JPEG,4.6 MB,
fg11,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_4957.jpg,This is us collage,"Kearns, Beatrice",08/30/13,"Collage focused on ""This Is Us"" One Directon movie",boy bands ,,graphic content,JPEG,5.9 MB,
fg12,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_4955.jpg,DIY t-shirt,"Kearns, Beatrice",11/2/12,Handmade One Direction t-shirt,boy bands,,graphic content,JPEG,6.1 MB,
fg13,,The end of cringe,"Kearns, Beatrice",3/15/24,Essay on embracing interests previously thought of as cringe,fan fiction; boy bands,,text,.docx,7.1 KB,
fg14,https://github.com/bkearns22/Collection/blob/81467669d0586af205796dfeea9b27fa9520569e/objects/IMG_0382.PNG,Elvis shrine,"Kearns, Beatrice",4/9/24,Photograph of young girl in front of Elvis shrine,"music,",,graphic content,PNG,4.4 MB,
fg15,,Apartment decor,"Kearns, Beatrice",4/9/24,Scrapbook on modern fandom decor,Boy bands; music,8in by 10in,mixed_materials,JPEG,5 MB,